head_node,relation,tail_node
ukb-b-1780,ro_greaterthan_0.5,ukb-b-5867
ukb-b-1780,ro_greaterthan_0.5,ukb-b-5850
ukb-b-1780,ro_greaterthan_0.5,ukb-b-4683
ukb-b-1780,ro_greaterthan_0.5,ukb-b-319
ukb-b-1780,ro_greaterthan_0.5,ukb-b-5332
ukb-b-1780,ro_greaterthan_0.5,ukb-b-5277
ukb-b-1780,ro_greaterthan_0.5,ukb-b-5847
ukb-b-1780,ro_greaterthan_0.5,ukb-b-5811
ukb-b-1780,ro_greaterthan_0.5,ukb-b-3852
ukb-b-1780,ro_greaterthan_0.5,ukb-b-4569
ukb-b-1780,ro_greaterthan_0.5,ukb-b-4548
ukb-b-1780,ro_greaterthan_0.5,ukb-b-5232
ukb-b-1780,ro_greaterthan_0.5,ukb-b-2530
ukb-b-1780,ro_greaterthan_0.5,ukb-b-2512
ukb-b-1780,ro_greaterthan_0.5,ukb-b-3143
ukb-b-1780,ro_greaterthan_0.5,ukb-b-311
ukb-b-1780,ro_greaterthan_0.5,ukb-b-5213
ukb-b-1780,ro_greaterthan_0.5,ukb-b-5186
ukb-b-1780,ro_greaterthan_0.5,ukb-b-3828
ukb-b-1780,ro_greaterthan_0.5,ukb-b-3751
ukb-b-1780,ro_greaterthan_0.5,ukb-b-4542
ukb-b-1780,ro_greaterthan_0.5,ukb-b-447
ukb-b-1780,ro_greaterthan_0.5,ukb-b-309
ukb-b-1780,ro_greaterthan_0.5,ukb-b-3055
ukb-b-1780,ro_greaterthan_0.5,ukb-b-1830
ukb-b-1780,ro_greaterthan_0.5,ukb-b-1814
ukb-b-1780,ro_greaterthan_0.5,ukb-b-1795
ukb-b-1780,ro_greaterthan_0.5,ukb-b-4465
ukb-b-1780,ro_greaterthan_0.5,ukb-b-4442
ukb-b-1780,ro_greaterthan_0.5,ukb-b-3022
ukb-b-1780,ro_greaterthan_0.5,ukb-b-2966
ukb-b-1780,ro_greaterthan_0.5,ukb-b-4414
ukb-b-1780,ro_greaterthan_0.5,ukb-b-143
ukb-b-1780,ro_greaterthan_0.5,ukb-b-3650
ukb-b-1780,ro_greaterthan_0.5,ukb-b-3646
ukb-b-1780,ro_greaterthan_0.5,ukb-b-2468
ukb-b-1780,ro_greaterthan_0.5,ukb-b-243
ukb-b-1780,ro_greaterthan_0.5,ukb-b-5753
ukb-b-1780,ro_greaterthan_0.5,ukb-b-57
ukb-b-1780,ro_greaterthan_0.5,ukb-b-2375
ukb-b-1780,ro_greaterthan_0.5,ukb-b-2368
ukb-b-1780,ro_greaterthan_0.5,ukb-b-6298
ukb-b-1780,ro_greaterthan_0.5,ukb-b-6246
ukb-b-1780,ro_greaterthan_0.5,ukb-b-6218
ukb-b-1780,ro_greaterthan_0.5,ukb-b-5185
ukb-b-1780,ro_greaterthan_0.5,ukb-b-139
ukb-b-1780,ro_greaterthan_0.5,ukb-b-6214
ukb-b-1780,ro_greaterthan_0.5,ukb-b-5079
ukb-b-1780,ro_greaterthan_0.5,ukb-b-5068
ukb-b-1780,ro_greaterthan_0.5,ukb-b-5064
ukb-b-1780,ro_greaterthan_0.5,ukb-b-2341
ukb-b-1780,ro_greaterthan_0.5,ukb-b-2338
ukb-b-1780,ro_greaterthan_0.5,ukb-b-621
ukb-b-1780,ro_greaterthan_0.5,ukb-b-6185
ukb-b-1780,ro_greaterthan_0.5,ukb-b-1338
ukb-b-1780,ro_greaterthan_0.5,ukb-b-1337
ukb-b-1780,ro_greaterthan_0.5,ukb-b-1310
ukb-b-1780,ro_greaterthan_0.5,ukb-b-5627
ukb-b-1780,ro_greaterthan_0.5,ukb-b-5605
ukb-b-1780,ro_greaterthan_0.5,ukb-b-6181
ukb-b-1780,ro_greaterthan_0.5,ukb-b-6154
ukb-b-1780,ro_greaterthan_0.5,ukb-b-5011
ukb-b-1780,ro_greaterthan_0.5,ukb-b-4964
ukb-b-1780,ro_greaterthan_0.5,ukb-b-4961
ukb-b-1780,ro_greaterthan_0.5,ukb-b-4310
ukb-b-1780,ro_greaterthan_0.5,ukb-b-4288
ukb-b-1780,ro_greaterthan_0.5,ukb-b-5536
ukb-b-1780,ro_greaterthan_0.5,ukb-b-129
ukb-b-1780,ro_greaterthan_0.5,ukb-b-29
ukb-b-1780,ro_greaterthan_0.5,ukb-b-2867
ukb-b-1780,ro_greaterthan_0.5,ukb-b-1255
ukb-b-1780,ro_greaterthan_0.5,ukb-b-998
ukb-b-1780,ro_greaterthan_0.5,ukb-b-2299
ukb-b-1780,ro_greaterthan_0.5,ukb-b-2237
ukb-b-1780,ro_greaterthan_0.5,ukb-b-4150
ukb-b-1780,ro_greaterthan_0.5,ukb-b-4088
ukb-b-1780,ro_greaterthan_0.5,ukb-b-4078
ukb-b-1780,ro_greaterthan_0.5,ukb-b-4075
ukb-b-1780,ro_greaterthan_0.5,ukb-b-6140
ukb-b-1780,ro_greaterthan_0.5,ukb-b-6063
ukb-b-1780,ro_greaterthan_0.5,ukb-b-2832
ukb-b-1780,ro_greaterthan_0.5,ukb-b-282
ukb-b-1780,ro_greaterthan_0.5,ukb-b-2221
ukb-b-1780,ro_greaterthan_0.5,ukb-b-2183
ukb-b-1780,ro_greaterthan_0.5,ukb-b-3530
ukb-b-1780,ro_greaterthan_0.5,ukb-b-3499
ukb-b-1780,ro_greaterthan_0.5,ukb-b-1658
ukb-b-1780,ro_greaterthan_0.5,ukb-b-1604
ukb-b-1780,ro_greaterthan_0.5,ukb-b-905
ukb-b-1780,ro_greaterthan_0.5,ukb-b-4955
ukb-b-1780,ro_greaterthan_0.5,ukb-b-4946
ukb-b-1780,ro_greaterthan_0.5,ukb-b-3433
ukb-b-1780,ro_greaterthan_0.5,ukb-b-3383
ukb-b-1780,ro_greaterthan_0.5,ukb-b-4058
ukb-b-1780,ro_greaterthan_0.5,ukb-b-4043
ukb-b-1780,ro_greaterthan_0.5,ukb-b-5522
ukb-b-1780,ro_greaterthan_0.5,ukb-b-5474
ukb-b-1780,ro_greaterthan_0.5,ukb-b-1252
ukb-b-1780,ro_greaterthan_0.5,ukb-b-117
ukb-b-1780,ro_greaterthan_0.5,ukb-b-1164
ukb-b-1780,ro_greaterthan_0.5,ukb-b-1160
ukb-b-1780,ro_greaterthan_0.5,ukb-b-3381
ukb-b-1780,ro_greaterthan_0.5,ukb-b-337
ukb-b-1780,ro_greaterthan_0.5,ukb-b-2035
ukb-b-1780,ro_greaterthan_0.5,ukb-b-4843
ukb-b-1780,ro_greaterthan_0.5,ukb-b-4740
ukb-b-1780,ro_greaterthan_0.5,ukb-b-2024
ukb-b-1780,ro_greaterthan_0.5,ukb-b-2020
ukb-b-1780,ro_greaterthan_0.5,ukb-b-602
ukb-b-1780,ro_greaterthan_0.5,ukb-b-812
ukb-b-1780,ro_greaterthan_0.5,ukb-b-1579
ukb-b-1780,ro_greaterthan_0.5,ukb-b-1503
ukb-b-1780,ro_greaterthan_0.5,ukb-b-277
ukb-b-1780,ro_greaterthan_0.5,ukb-b-2691
ukb-b-1780,ro_greaterthan_0.5,ukb-b-1099
ukb-b-1780,ro_greaterthan_0.5,ukb-b-10829
ukb-b-1780,ro_greaterthan_0.5,ukb-b-10546
ukb-b-1780,ro_greaterthan_0.5,ukb-b-1004
ukb-b-1780,ro_greaterthan_0.5,ukb-b-260
ukb-b-1780,ro_greaterthan_0.5,ukb-b-3291
ukb-b-1780,ro_greaterthan_0.5,ukb-b-4007
ukb-b-1780,ro_greaterthan_0.5,ukb-b-4690
ukb-b-1780,ro_greaterthan_0.5,ukb-b-5427
ukb-b-1780,ro_greaterthan_0.5,ukb-b-5382
ukb-b-930,ro_greaterthan_0.5,ukb-b-4051
ukb-b-930,ro_greaterthan_0.5,ukb-b-4051
ukb-b-3193,ro_greaterthan_0.5,ukb-b-311
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4690
ukb-b-3193,ro_greaterthan_0.5,ukb-b-748
ukb-b-3193,ro_greaterthan_0.5,ukb-b-29
ukb-b-3193,ro_greaterthan_0.5,ukb-b-277
ukb-b-3193,ro_greaterthan_0.5,ukb-b-6246
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1338
ukb-b-3193,ro_greaterthan_0.5,ukb-b-243
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1780
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2341
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1579
ukb-b-3193,ro_greaterthan_0.5,ukb-b-3751
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2035
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1004
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4310
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4946
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5011
ukb-b-3193,ro_greaterthan_0.5,ukb-b-447
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5605
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1658
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5867
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2183
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5536
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1830
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5332
ukb-b-3193,ro_greaterthan_0.5,ukb-b-3381
ukb-b-3193,ro_greaterthan_0.5,ukb-b-3828
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4542
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4465
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2368
ukb-b-3193,ro_greaterthan_0.5,ukb-b-282
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4288
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5474
ukb-b-3193,ro_greaterthan_0.5,ukb-b-309
ukb-b-3193,ro_greaterthan_0.5,ukb-b-6063
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5811
ukb-b-3193,ro_greaterthan_0.5,ukb-b-337
ukb-b-3193,ro_greaterthan_0.5,ukb-b-319
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4078
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5186
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4955
ukb-b-3193,ro_greaterthan_0.5,ukb-b-260
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4843
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2020
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5079
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4683
ukb-b-3193,ro_greaterthan_0.5,ukb-b-3650
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5277
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4961
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2338
ukb-b-3193,ro_greaterthan_0.5,ukb-b-6140
ukb-b-3193,ro_greaterthan_0.5,ukb-b-57
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5850
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2966
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2832
ukb-b-3193,ro_greaterthan_0.5,ukb-b-3530
ukb-b-3193,ro_greaterthan_0.5,ukb-b-3291
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1337
ukb-b-3193,ro_greaterthan_0.5,ukb-b-129
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5522
ukb-b-3193,ro_greaterthan_0.5,ukb-b-117
ukb-b-3193,ro_greaterthan_0.5,ukb-b-6214
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1814
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4964
ukb-b-3193,ro_greaterthan_0.5,ukb-b-602
ukb-b-3193,ro_greaterthan_0.5,ukb-b-6298
ukb-b-3193,ro_greaterthan_0.5,ukb-b-3433
ukb-b-3193,ro_greaterthan_0.5,ukb-b-998
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2221
ukb-b-3193,ro_greaterthan_0.5,ukb-b-3022
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4075
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5064
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2237
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4442
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5753
ukb-b-3193,ro_greaterthan_0.5,ukb-b-588
ukb-b-3193,ro_greaterthan_0.5,ukb-b-770
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2867
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2468
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1255
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2530
ukb-b-3193,ro_greaterthan_0.5,ukb-b-3383
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5427
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1099
ukb-b-3193,ro_greaterthan_0.5,ukb-b-6185
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1795
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4088
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5382
ukb-b-3193,ro_greaterthan_0.5,ukb-b-143
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1252
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4548
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4569
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2375
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2512
ukb-b-3193,ro_greaterthan_0.5,ukb-b-10829
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1310
ukb-b-3193,ro_greaterthan_0.5,ukb-b-6181
ukb-b-3193,ro_greaterthan_0.5,ukb-b-758
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4740
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4150
ukb-b-3193,ro_greaterthan_0.5,ukb-b-905
ukb-b-3193,ro_greaterthan_0.5,ukb-b-10546
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4043
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5627
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2299
ukb-b-3193,ro_greaterthan_0.5,ukb-b-3143
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4007
ukb-b-3193,ro_greaterthan_0.5,ukb-b-3852
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5847
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4414
ukb-b-3193,ro_greaterthan_0.5,ukb-b-39
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2024
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5213
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5185
ukb-b-3193,ro_greaterthan_0.5,ukb-b-812
ukb-b-3193,ro_greaterthan_0.5,ukb-b-3055
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4058
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1604
ukb-b-3193,ro_greaterthan_0.5,ukb-b-3499
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2691
ukb-b-3193,ro_greaterthan_0.5,ukb-b-621
ukb-b-3193,ro_greaterthan_0.5,ukb-b-6218
ukb-b-3193,ro_greaterthan_0.5,ukb-b-6154
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1164
ukb-b-3193,ro_greaterthan_0.5,ukb-b-3646
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5068
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1160
ukb-b-3193,ro_greaterthan_0.5,ukb-b-139
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5232
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1503
ukb-b-3193,ro_greaterthan_0.5,ukb-b-770
ukb-b-3193,ro_greaterthan_0.5,ukb-b-758
ukb-b-3193,ro_greaterthan_0.5,ukb-b-588
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5867
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5850
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4683
ukb-b-3193,ro_greaterthan_0.5,ukb-b-319
ukb-b-3193,ro_greaterthan_0.5,ukb-b-3143
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5332
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5847
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5811
ukb-b-3193,ro_greaterthan_0.5,ukb-b-39
ukb-b-3193,ro_greaterthan_0.5,ukb-b-3852
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4569
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4548
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5277
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5232
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2530
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2512
ukb-b-3193,ro_greaterthan_0.5,ukb-b-311
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5213
ukb-b-3193,ro_greaterthan_0.5,ukb-b-3828
ukb-b-3193,ro_greaterthan_0.5,ukb-b-3751
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4542
ukb-b-3193,ro_greaterthan_0.5,ukb-b-447
ukb-b-3193,ro_greaterthan_0.5,ukb-b-309
ukb-b-3193,ro_greaterthan_0.5,ukb-b-3055
ukb-b-3193,ro_greaterthan_0.5,ukb-b-3022
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1830
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1814
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1795
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4465
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4442
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2966
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4414
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4310
ukb-b-3193,ro_greaterthan_0.5,ukb-b-143
ukb-b-3193,ro_greaterthan_0.5,ukb-b-748
ukb-b-3193,ro_greaterthan_0.5,ukb-b-6298
ukb-b-3193,ro_greaterthan_0.5,ukb-b-3646
ukb-b-3193,ro_greaterthan_0.5,ukb-b-3650
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2468
ukb-b-3193,ro_greaterthan_0.5,ukb-b-243
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5753
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2375
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2368
ukb-b-3193,ro_greaterthan_0.5,ukb-b-6246
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5186
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5185
ukb-b-3193,ro_greaterthan_0.5,ukb-b-139
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1338
ukb-b-3193,ro_greaterthan_0.5,ukb-b-6218
ukb-b-3193,ro_greaterthan_0.5,ukb-b-6214
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5079
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5068
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5064
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2341
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2338
ukb-b-3193,ro_greaterthan_0.5,ukb-b-621
ukb-b-3193,ro_greaterthan_0.5,ukb-b-6185
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1337
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1310
ukb-b-3193,ro_greaterthan_0.5,ukb-b-57
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5627
ukb-b-3193,ro_greaterthan_0.5,ukb-b-6181
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5011
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4964
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4961
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4288
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4150
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5605
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5536
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5522
ukb-b-3193,ro_greaterthan_0.5,ukb-b-129
ukb-b-3193,ro_greaterthan_0.5,ukb-b-29
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2867
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1780
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1255
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1252
ukb-b-3193,ro_greaterthan_0.5,ukb-b-998
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2299
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2237
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4088
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4078
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4075
ukb-b-3193,ro_greaterthan_0.5,ukb-b-6154
ukb-b-3193,ro_greaterthan_0.5,ukb-b-6140
ukb-b-3193,ro_greaterthan_0.5,ukb-b-6063
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2832
ukb-b-3193,ro_greaterthan_0.5,ukb-b-282
ukb-b-3193,ro_greaterthan_0.5,ukb-b-277
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2221
ukb-b-3193,ro_greaterthan_0.5,ukb-b-3530
ukb-b-3193,ro_greaterthan_0.5,ukb-b-3499
ukb-b-3193,ro_greaterthan_0.5,ukb-b-3433
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1658
ukb-b-3193,ro_greaterthan_0.5,ukb-b-905
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4955
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4946
ukb-b-3193,ro_greaterthan_0.5,ukb-b-3383
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4058
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4043
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5474
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5427
ukb-b-3193,ro_greaterthan_0.5,ukb-b-117
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1164
ukb-b-3193,ro_greaterthan_0.5,ukb-b-3381
ukb-b-3193,ro_greaterthan_0.5,ukb-b-337
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2183
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2035
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4843
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4740
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2024
ukb-b-3193,ro_greaterthan_0.5,ukb-b-602
ukb-b-3193,ro_greaterthan_0.5,ukb-b-812
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1604
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1579
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2691
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1160
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1099
ukb-b-3193,ro_greaterthan_0.5,ukb-b-10829
ukb-b-3193,ro_greaterthan_0.5,ukb-b-10546
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1004
ukb-b-3193,ro_greaterthan_0.5,ukb-b-1503
ukb-b-3193,ro_greaterthan_0.5,ukb-b-2020
ukb-b-3193,ro_greaterthan_0.5,ukb-b-260
ukb-b-3193,ro_greaterthan_0.5,ukb-b-3291
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4007
ukb-b-3193,ro_greaterthan_0.5,ukb-b-4690
ukb-b-3193,ro_greaterthan_0.5,ukb-b-5382
ukb-b-3530,ro_greaterthan_0.5,ukb-b-1579
ukb-b-3530,ro_greaterthan_0.5,ukb-b-5079
ukb-b-3530,ro_greaterthan_0.5,ukb-b-277
ukb-b-3530,ro_greaterthan_0.5,ukb-b-1830
ukb-b-3530,ro_greaterthan_0.5,ukb-b-5474
ukb-b-3530,ro_greaterthan_0.5,ukb-b-57
ukb-b-3530,ro_greaterthan_0.5,ukb-b-4843
ukb-b-3530,ro_greaterthan_0.5,ukb-b-6140
ukb-b-3530,ro_greaterthan_0.5,ukb-b-5850
ukb-b-3530,ro_greaterthan_0.5,ukb-b-309
ukb-b-3530,ro_greaterthan_0.5,ukb-b-2338
ukb-b-3530,ro_greaterthan_0.5,ukb-b-4542
ukb-b-3530,ro_greaterthan_0.5,ukb-b-6063
ukb-b-3530,ro_greaterthan_0.5,ukb-b-3828
ukb-b-3530,ro_greaterthan_0.5,ukb-b-4946
ukb-b-3530,ro_greaterthan_0.5,ukb-b-5536
ukb-b-3530,ro_greaterthan_0.5,ukb-b-129
ukb-b-3530,ro_greaterthan_0.5,ukb-b-319
ukb-b-3530,ro_greaterthan_0.5,ukb-b-4690
ukb-b-3530,ro_greaterthan_0.5,ukb-b-5185
ukb-b-3530,ro_greaterthan_0.5,ukb-b-39
ukb-b-3530,ro_greaterthan_0.5,ukb-b-3055
ukb-b-3530,ro_greaterthan_0.5,ukb-b-5186
ukb-b-3530,ro_greaterthan_0.5,ukb-b-4442
ukb-b-3530,ro_greaterthan_0.5,ukb-b-6246
ukb-b-3530,ro_greaterthan_0.5,ukb-b-998
ukb-b-3530,ro_greaterthan_0.5,ukb-b-3852
ukb-b-3530,ro_greaterthan_0.5,ukb-b-282
ukb-b-3530,ro_greaterthan_0.5,ukb-b-5627
ukb-b-3530,ro_greaterthan_0.5,ukb-b-447
ukb-b-3530,ro_greaterthan_0.5,ukb-b-5605
ukb-b-3530,ro_greaterthan_0.5,ukb-b-5332
ukb-b-3530,ro_greaterthan_0.5,ukb-b-4465
ukb-b-3530,ro_greaterthan_0.5,ukb-b-3650
ukb-b-3530,ro_greaterthan_0.5,ukb-b-5867
ukb-b-3530,ro_greaterthan_0.5,ukb-b-2966
ukb-b-3530,ro_greaterthan_0.5,ukb-b-1795
ukb-b-3530,ro_greaterthan_0.5,ukb-b-4955
ukb-b-3530,ro_greaterthan_0.5,ukb-b-337
ukb-b-3530,ro_greaterthan_0.5,ukb-b-1604
ukb-b-3530,ro_greaterthan_0.5,ukb-b-748
ukb-b-3530,ro_greaterthan_0.5,ukb-b-6181
ukb-b-3530,ro_greaterthan_0.5,ukb-b-4288
ukb-b-3530,ro_greaterthan_0.5,ukb-b-3381
ukb-b-3530,ro_greaterthan_0.5,ukb-b-2183
ukb-b-3530,ro_greaterthan_0.5,ukb-b-4058
ukb-b-3530,ro_greaterthan_0.5,ukb-b-4088
ukb-b-3530,ro_greaterthan_0.5,ukb-b-5382
ukb-b-3530,ro_greaterthan_0.5,ukb-b-4075
ukb-b-3530,ro_greaterthan_0.5,ukb-b-260
ukb-b-3530,ro_greaterthan_0.5,ukb-b-905
ukb-b-3530,ro_greaterthan_0.5,ukb-b-10829
ukb-b-3530,ro_greaterthan_0.5,ukb-b-1780
ukb-b-3530,ro_greaterthan_0.5,ukb-b-2375
ukb-b-3530,ro_greaterthan_0.5,ukb-b-5847
ukb-b-3530,ro_greaterthan_0.5,ukb-b-4414
ukb-b-3530,ro_greaterthan_0.5,ukb-b-1160
ukb-b-3530,ro_greaterthan_0.5,ukb-b-2035
ukb-b-3530,ro_greaterthan_0.5,ukb-b-2691
ukb-b-3530,ro_greaterthan_0.5,ukb-b-3646
ukb-b-3530,ro_greaterthan_0.5,ukb-b-139
ukb-b-3530,ro_greaterthan_0.5,ukb-b-5068
ukb-b-3530,ro_greaterthan_0.5,ukb-b-1099
ukb-b-3530,ro_greaterthan_0.5,ukb-b-1164
ukb-b-3530,ro_greaterthan_0.5,ukb-b-4007
ukb-b-3530,ro_greaterthan_0.5,ukb-b-6154
ukb-b-3530,ro_greaterthan_0.5,ukb-b-6185
ukb-b-3530,ro_greaterthan_0.5,ukb-b-5811
